Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,loss
28-May-17,Alabama,Phenix City,100 block of 6th Street South,0,12,N/A,12
28-May-17,New Jersey,Paterson,86 Main Street,1,5,N/A,6
28-May-17,Mississippi,Moss Point,6103 Hwy. 63,0,5,N/A,5
27-May-17,Mississippi,Bogue Chitto,2871 Lee Dr,8,1,N/A,9
27-May-17,New York,New York (Manhattan),318 W 14th St,0,4,N/A,4
27-May-17,District of Columbia,Washington,100 block of Q Street Northwest,1,7,N/A,8
26-May-17,Florida,Miami,2730 NW 167th St,0,4,N/A,4
21-May-17,Iowa,Des Moines,4300 Beaver Dr,1,3,N/A,4
21-May-17,Arizona,Mesa,441 N Val Vista Dr,0,4,N/A,4
20-May-17,Pennsylvania,Philadelphia,2100 block of W Huntingdon St,0,10,N/A,10
16-May-17,South Carolina,Ruffin,21785 Lowcountry Hwy,3,1,N/A,4
14-May-17,Arkansas,Jonesboro,311 S Main St,1,6,N/A,7
14-May-17,Illinois,Dolton,14112 Chicago Road,0,5,N/A,5
14-May-17,Florida,Avon Park,Hal McRae Blvd and Delaney Ave,0,5,N/A,5
14-May-17,Texas,Fort Worth,8600 block of Calmont Ave,0,4,N/A,4
10-May-17,New Jersey,Trenton,300 block of Centre St,1,3,N/A,4
9-May-17,Kansas,Kansas City,1900 block of S. Boeke,3,1,N/A,4
7-May-17,Illinois,Chicago,2600 block of 46th Pl,2,8,N/A,10
4-May-17,Michigan,Flint,600 block of Copeman Boulevard,1,3,N/A,4
2-May-17,Florida,Jacksonville,1566 West 24th Street,1,3,N/A,4
1-May-17,Texas,Dallas,3200 block of Reynolds Ave,2,3,N/A,5
30-Apr-17,California,San Diego,9080 Judicial Dr,2,6,N/A,8
30-Apr-17,Kansas,Topeka,4104 SW 28th,4,1,N/A,5
30-Apr-17,Florida,Jacksonville,1200 Ken Knight Dr N,0,5,N/A,5
30-Apr-17,South Carolina,Loris,268 N Sea Green Rd,1,5,N/A,6
29-Apr-17,Maryland,Germantown,12800 block of Kitchen House Way,1,3,N/A,4
29-Apr-17,California,Los Angeles (Boyle Heights),Murchison St and Lancaster Ave,1,3,N/A,4
29-Apr-17,California,Sacramento,3800 block of 26th Avenue,0,5,N/A,5
29-Apr-17,California,Whittier,10000 block of Carmentia Rd,1,5,N/A,6
29-Apr-17,California,Compton,2000 Block of N Nestor Ave,0,4,N/A,4
29-Apr-17,Virginia,Virginia Beach,200 block of 18th St,0,4,N/A,4
28-Apr-17,Pennsylvania,Chester,5 E 21st St,0,4,N/A,4
27-Apr-17,New Jersey,Newark,1100 block of S Orange Ave,1,3,N/A,4
26-Apr-17,Florida,Miami,SW 264th St and 139th Ave,0,4,N/A,4
21-Apr-17,Florida,Palm Bay,2500 block of Vernon Dr,2,2,N/A,4
20-Apr-17,Kentucky,Louisville,700 block of East Jacob Street,0,4,N/A,4
16-Apr-17,California,Vallejo,110 Calhoun Street,0,4,N/A,4
16-Apr-17,North Carolina,Elizabeth City,611 S Martin St,0,4,N/A,4
16-Apr-17,Ohio,Columbus,1710 Cleveland Av,0,9,N/A,9
15-Apr-17,Illinois,Rock Falls,311 W  2nd St,0,4,N/A,4
15-Apr-17,Indiana,Indianapolis,300 block of S Meridian St,0,4,N/A,4
15-Apr-17,Alabama,Birmingham,1480 Center Point Pkwy,0,6,N/A,6
15-Apr-17,Pennsylvania,Philadelphia,5900 block of Hammond Street,0,4,N/A,4
15-Apr-17,Illinois,Harvey,14600 block of Myrtle Avenue,0,4,N/A,4
15-Apr-17,California,Banning,900 block of N Allen St,0,4,N/A,4
13-Apr-17,Georgia,Atlanta,30 Anderson Ave SW,1,3,N/A,4
9-Apr-17,Texas,San Antonio,3100 block of Fidelia Drive,1,3,N/A,4
9-Apr-17,Indiana,Fort Wayne,9439 Lima Rd,1,3,N/A,4
7-Apr-17,North Carolina,Hickory,1423 29th Ave Dr NE,3,1,N/A,4
7-Apr-17,Texas,Houston,3829 Mount Pleasant St,5,0,N/A,5
7-Apr-17,Minnesota,Saint Paul,1600 block of English St,4,1,N/A,5
7-Apr-17,Illinois,Chicago,5600 block of W Lake St,1,5,N/A,6
6-Apr-17,Louisiana,Lake Charles,2000 block of Tulip St,1,3,N/A,4
3-Apr-17,Pennsylvania,Philadelphia,1100 block of W Stiles St,3,1,N/A,4
3-Apr-17,Texas,Lubbock,5401 Ave Q,0,7,N/A,7
2-Apr-17,Illinois,Chicago,3500 block of West Van Buren Street,2,4,N/A,6
2-Apr-17,Iowa,Des Moines,2500 Martin Luther King Jr. Parkway,0,5,N/A,5
1-Apr-17,California,Pittsburg,100 block of Madoline Street,0,5,N/A,5
1-Apr-17,Florida,Tampa,219 S Howard Ave,1,4,N/A,5
1-Apr-17,Oklahoma,Oklahoma City,1200 block of N Woodward Avenue,2,3,N/A,5
30-Mar-17,Illinois,Chicago,2704 E 75th St,4,0,N/A,4
27-Mar-17,Florida,Sanford,209 Hays Dr,2,4,N/A,6
26-Mar-17,Texas,Houston,5619 Aldine Bender Rd,2,4,N/A,6
26-Mar-17,Ohio,Cincinnati,4601 Kellogg Ave,2,15,N/A,17
26-Mar-17,Ohio,Cleveland,E 75th St,2,2,N/A,4
25-Mar-17,Michigan,Detroit,8443 Grand River Ave,1,3,N/A,4
25-Mar-17,Tennessee,Knoxville,Minnesota Avenue,1,4,N/A,5
25-Mar-17,Ohio,Cleveland,E 79th St and Woodland Ave,2,2,N/A,4
24-Mar-17,California,Fresno,300 block of South Villa Avenue,1,4,N/A,5
24-Mar-17,Missouri,Saint Louis,5100 block of Palm St,1,6,N/A,7
22-Mar-17,Wisconsin,Rothschild,1133 E Grand Ave,5,0,N/A,5
19-Mar-17,Kentucky,Louisville,1512 Portland Avenue,1,5,N/A,6
18-Mar-17,Michigan,Detroit,16000 block of Rutherford,3,2,N/A,5
15-Mar-17,Louisiana,Metairie,2508 Pasadena Ave,3,1,N/A,4
10-Mar-17,Illinois,Chicago,123 E 51st St,2,2,N/A,4
10-Mar-17,Louisiana,New Orleans (Gentilly),4200 block of Touro St,3,1,N/A,4
7-Mar-17,Illinois,Chicago,West 76th Street and South May streets,0,4,N/A,4
5-Mar-17,Georgia,Columbus,600 block of 32nd Street,0,4,N/A,4
4-Mar-17,Kansas,Topeka,23rd and Bellview,1,4,N/A,5
4-Mar-17,California,Sacramento,2500 block of 33rd St,0,4,N/A,4
3-Mar-17,Pennsylvania,Philadelphia,7165 Germantown Ave,0,4,N/A,4
3-Mar-17,California,Riverside,8300 block of Trey Ave,0,5,N/A,5
28-Feb-17,Ohio,Cincinnati,1700 of Casey Drive,0,6,N/A,6
